workload,cycles,cache-misses,instructions,stalled-cycles-backend,branch-misses,context-switches,iTLB-load-misses,IpNReturn,IpMispredict,BpTkBranch
502.gcc_r,112031497172,1572093168,142135456490,33765866526,631492361,2819,5634527,61.72,225.5,1.83
502.gcc_r,120021995821,1680564035,153657712495,35145029292,696953954,3025,5953284,61.97,219.99,1.83
502.gcc_r,128077186822,1793416720,165175950158,36448537305,768884160,3229,6360019,62.21,214.22,1.83
502.gcc_r,136153004643,1904590973,176521913851,38016247858,833332165,3429,6609315,62.4,212.7,1.82
502.gcc_r,144213383490,2001053354,188373382080,40033074758,879071113,3627,6787570,62.39,214.01,1.82
502.gcc_r,152154942002,2101464234,199617383968,41868084043,927856468,3840,6941689,62.35,216.05,1.82
502.gcc_r,160226672377,2216780978,211306270788,44092870541,967612265,4038,7066736,62.11,217.73,1.82
502.gcc_r,168299737204,2355065410,221841978799,45916058719,1030449156,4233,7542644,62.08,214.26,1.82
502.gcc_r,176289123594,2490509657,232066673166,47183244309,1101824886,4437,8260361,62.24,209.91,1.82
502.gcc_r,184271288863,2612217402,243124911901,48284718173,1172983339,4645,8880737,62.28,207.93,1.82
502.gcc_r,192248138556,2731987534,251296822294,52606322079,1187957593,4855,8896344,62.65,212.11,1.82
502.gcc_r,200285543807,2820445878,258748179260,56906242904,1201373495,5051,8898624,62.8,215.94,1.82
502.gcc_r,208291569242,2931577855,267106945232,61105671286,1218491713,5252,8921904,63.07,219.78,1.82
502.gcc_r,216299953920,3028185424,275203325801,65268145554,1234804562,5451,8940165,63.06,223.48,1.82
502.gcc_r,224320968255,3143975513,287368419321,68178361620,1255753792,5649,8953336,62.08,230.38,1.83
502.gcc_r,232379988526,3255430025,304879463043,69408696856,1277305140,5851,8953405,60.56,240.2,1.83
502.gcc_r,240456297712,3382418356,316655775535,72362706893,1297812415,6051,8954016,60.29,243.73,1.83
502.gcc_r,248532328814,3501660848,320731042187,77449000780,1316927193,6250,8954270,60.53,243.92,1.83
502.gcc_r,256607633699,3613504662,327307510536,82035627879,1330951069,6452,8955342,60.86,246.04,1.83
502.gcc_r,264681127610,3732947021,336073970878,84751491937,1375282548,6648,9543849,60.92,243.27,1.83
502.gcc_r,272703520727,3843152598,347583259885,85931120192,1439726939,6848,10140056,60.84,240.42,1.83
502.gcc_r,280672120433,3975826496,357932047545,87131283783,1507328598,7056,11027963,60.91,237.07,1.83
502.gcc_r,288720960327,4098379021,368959024293,88395997544,1574976317,7254,11701610,61,233.77,1.83
502.gcc_r,296707385474,4203237818,379552676556,90271312436,1629226520,7460,11956122,61.13,232.36,1.83
502.gcc_r,304678005628,4314076026,390661821918,91767295214,1691870178,7669,12210025,61.26,230.27,1.83
502.gcc_r,312754807473,4428882110,401959541949,93168296695,1760737187,7865,12549750,61.41,227.9,1.82
502.gcc_r,320694397109,4534197414,412765372309,95083395483,1810981899,8074,12773371,61.42,228.85,1.82
502.gcc_r,328754220021,4630831253,424179177825,97113328683,1858814563,8273,12900215,61.55,228.09,1.82
502.gcc_r,336718180996,4735213002,435407880440,99017949063,1903321177,8478,13033050,61.47,229.33,1.82
502.gcc_r,344799848388,4848807010,446396610939,101573761886,1943499022,8679,13195075,61.89,230.68,1.82
502.gcc_r,352815835255,4946099758,458500823882,105669500127,1959270325,8871,13195138,63.44,235.3,1.81
502.gcc_r,360892675567,5059513556,472185139073,109445085771,1972705833,9069,13195142,65.1,240.73,1.8
